Anime-PlanetID,Name,Alternative Name,Rating Score,Number Votes,Tags,Content Warning,Type,Episodes,Finished,Duration,StartYear,EndYear,Season,Studios,Synopsis,
15791,Fruits Basket the Final,Unknown,4.716,1573,"Comedy, Drama, Fantasy, Romance, Shoujo, Animal Transformation, Curse, Dysfunctional Families, Love Triangle, Based on a Manga",Unknown,TV,9,FALSE,Unknown,2021,Unknown,Spring 2021,"TMS Entertainment, 8 Pan",Final season of Fruits Basket .,
2360,Fullmetal Alchemist: Brotherhood,Hagane no Renkinjutsushi: Full Metal Alchemist,4.696,100159,"Action, Adventure, Drama, Fantasy, Mystery, Shounen, Conspiracy, Death of a Loved One, Military, Siblings, Based on a Manga","Animal Abuse, Mature Themes, Violence, Domestic Abuse",TV,64,TRUE,Unknown,2009,2010,Spring 2009,Bones,"The foundation of alchemy is based on the law of equivalent exchange; you cannot produce something from nothing. As such, alchemy is bound by one taboo - human transmutation. Four years ago two young brothers, Edward and Alphonse Elric, broke this taboo when they tried to resurrect their dead mother. During the process Al's body disintegrated and Ed lost his leg. In a desperate attempt to prevent his brother from disappearing completely, Ed sacrificed one of his arms so he could affix Al's soul to a suit of armor. When his missing limbs are replaced by auto mail parts, Ed bears the name of the Fullmetal Alchemist - the youngest ever State Alchemist and dog of the military. Now, alongside his brother, Ed uses his status within the military to attempt to find any way that he can return their bodies back to their original state.",
13739,Attack on Titan The Final Season,Shingeki no Kyojin The Final Season,4.681,21460,"Action, Drama, Fantasy, Horror, Shounen, Dark Fantasy, Military, War, Based on a Manga","Explicit Violence, Mature Themes, Physical Abuse, Suicide",TV,16,TRUE,Unknown,2020,2021,Fall 2020,MAPPA,"It's been four years since the Scout Regiment reached the shoreline, and the world looks different now. Things are heating up as the fate of the Scout Regiment—and the people of Paradis—are determined at last. However, Eren is missing. Will he reappear before age-old tensions between Marleyans and Eldians result in the war of all wars?",
14059,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train,Kimetsu no Yaiba Movie: Mugen Ressha-hen,4.677,9959,"Action, Drama, Fantasy, Shounen, Demons, Historical, Martial Arts, Orphans, Siblings, Swordplay, Trains, Based on a Manga","Mature Themes, Suicide, Violence",Movie,1,TRUE,Unknown,2020,2020,Unknown,ufotable,"Tanjirou and the group have completed their rehabilitation training at the Butterfly Mansion, and they arrive to their next mission on the Mugen Train, where over 40 people have disappeared in a very short period of time. Tanjirou and Nezuko, along with Zenitsu and Inosuke, join one of the most powerful swordsmen within the Demon Slayer Corps, Flame Hashira Rengoku Kyoujurou, to face the demon aboard the Mugen Train on track to despair.",
11965,Attack on Titan 3rd Season: Part II,Shingeki no Kyojin Season 3: Part II,4.675,36214,"Action, Fantasy, Horror, Shounen, Dark Fantasy, Isolated Society, Military, Outside World, Post-apocalyptic, Based on a Manga","Cannibalism, Explicit Violence",TV,10,TRUE,Unknown,2019,2019,Spring 2019,WIT Studio,"The battle to retake Wall Maria begins now! With Eren’s new hardening ability, the Scouts are confident they can seal the wall and take back Shiganshina District. If they succeed, Eren can finally unlock the secrets of the basement—and the world. But danger lies in wait as Reiner, Bertholdt, and the Beast Titan have plans of their own. Could this be humanity’s final battle for survival?",
14229,Jujutsu Kaisen,Unknown,4.666,27981,"Action, Horror, Shounen, Curse, Monsters, School Life, Supernatural, Based on a Manga",Explicit Violence,TV,24,TRUE,Unknown,2020,2021,Fall 2020,MAPPA,"Although Yuji Itadori looks like your average teenager, his immense physical strength is something to behold! Every sports club wants him to join, but Itadori would rather hang out with the school outcasts in the Occult Research Club. One day, the club manages to get their hands on a sealed cursed object. Little do they know the terror they’ll unleash when they break the seal…",
7777,Haikyuu!! Karasuno High School vs Shiratorizawa Academy,Haikyuu!! Karasuno Koukou vs Shiratorizawa Gakuen Koukou,4.648,29746,"Shounen, Sports, Animeism, School Club, School Life, Tournaments, Volleyball, Based on a Manga",Unknown,TV,10,TRUE,Unknown,2016,2016,Fall 2016,Production I.G,"Picking up where the second season ended, the boys prepare to finally face off for the right to represent the prefecture in the volleyball national championship. Despite being known as “The Fallen Champions,” Karasuno is determined to take down the powerhouse that is the Shiratorizawa High volleyball team. As Hinata comes closer to fulfilling his promise to defeat Ushijima’s team, will the “Flightless Crows” finally find their wings and soar above the best school in the prefecture?",
6805,A Silent Voice,Koe no Katachi,4.645,56176,"Drama, Shounen, Disability, Melancholy, Mental Illness, School Life, Based on a Manga","Bullying, Mature Themes, Suicide",Movie,1,TRUE,130,2016,2016,Unknown,Kyoto Animation,"After transferring into a new school, a deaf girl, Shouko Nishimiya, is bullied by the popular Shouya Ishida. As Shouya continues to bully Shouko, the class turns its back on him. Shouko transfers and Shouya grows up as an outcast. Alone and depressed, the regretful Shouya finds Shouko to make amends.",
4336,Hunter x Hunter (2011),Unknown,4.639,67989,"Action, Adventure, Drama, Fantasy, Shounen, Monsters, Superpowers, Based on a Manga",Violence,TV,148,TRUE,Unknown,2011,2014,Fall 2011,MADHOUSE,"Drawn to the mystique of the unknown, Hunters travel the world in search of terrifying creatures, incredible riches, and unexplored lands. Gon Freecss is a naive-yet-determined young boy who aspires to join the ranks of these individuals, in order to find his missing father Ging - a master of the profession himself. To reach his goal, he partakes in the formidable Hunter Exam, a series of tests that push the participants to their physical and mental limits, with a Hunter License as the prize. During the exam Gon befriends vengeful Kurapika, doctor-to-be Leorio, and skilled assassin Killua, who have entered for their own reasons. But with the sinister Hisoka standing in their way, will Gon and his friends be able to succeed in obtaining their reward, or even escaping with their lives?",
7639,your name.,Kimi no Na wa.,4.637,63966,"Drama, Romance, Body Swapping, Gender Bender, Opposites Attract, School Life, Supernatural, Original Work",Unknown,Movie,1,TRUE,107,2016,2016,Unknown,CoMix Wave Films,"Mitsuha and Taki are two total strangers living completely different lives. But when Mitsuha makes a wish to leave her mountain town and for the bustling city of Tokyo, they become connected in a bizarre way. She dreams she is a boy living in Tokyo while Taki dreams he is a girl from a rural town he’s never been to. What does their newfound connection mean? And how will it bring them together?",
6871,Haikyuu!! Second Season,Unknown,4.631,37815,"Shounen, Sports, School Club, School Life, Tournaments, Volleyball, Based on a Manga",Unknown,TV,25,TRUE,Unknown,2015,2016,Fall 2015,Production I.G,"After losing to Aoba Johsai at the Inter-High, the Karasuno High Volleyball Team is working their hardest toward the Spring Tournament. In the meantime, it's decided that they'll be heading to Tokyo for a training camp with Nekoma High and a handful of other powerful schools. They team is practicing hard, and not day during their run, Hinata and Kageyama get too excited and end up lost, and end up meeting someone rather unexpected...",
7284,Kamisama Minarai: Himitsu no Cocotama,Unknown,2.465,72,"Fantasy, Slice of Life, Family Friendly",Unknown,TV,139,TRUE,Unknown,2015,2018,Fall 2015,OLM,"Kokoro Yotsuba is a fifth-grade student who is very clumsy but very careful and caring to her belongings, learning from her grandmother about ""everything has a soul"". One day, she witness the birth of a strange creature from one of her colored pencils: a Cocotama named Luckytama. Surprised on each other, and with Kokoro now permanently linked to the ""Contract of Secrecy"", she must agree to keep their kind a secret to the world. Now living with Luckytama, she and him learn each others' friendship while meeting with other Cocotamas.",https://www.anime-planet.com/anime/kamisama-minarai-himitsu-no-cocotama
