Anime-PlanetID,Name,Alternative Name,Rating Score,Number Votes,Tags,Content Warning,Type,Episodes,Finished,Duration,StartYear,EndYear,Season,Studios,Synopsis,Url
7093,One-Punch Man,Unknown,4.578,85068,"Action, Comedy, Sci Fi, Seinen, Cyborgs, Monsters, Overpowered Main Characters, Parody, Satire, Superheroes, Superpowers, Based on a Manga",Explicit Violence,TV,12,TRUE,Unknown,2015,2015,Fall 2015,MADHOUSE,"In a city plagued with thugs, mutants, and supervillains, Saitama decides to become a superhero for fun. He envisions an exciting life where he is constantly challenged with tough opponents, but after three years of intense training, he's become so strong that he defeats every enemy with one punch! His dream of engaging challenging foes has gone up in smoke, and his overpowered life is filled with overpowering boredom. Then a cyborg named Genos learns about Saitama's amazing ability and begs him to make him his disciple. Saitama isn't interested in taking on an apprentice, but Genos isn't giving up. Can he convince the disillusioned hero to teach him the secret of his strength? And will Saitama ever find a worthy adversary to battle?",https://www.anime-planet.com/anime/one-punch-man
6124,Tokyo Ghoul,Unknown,4.298,79297,"Action, Drama, Horror, Seinen, Human Experimentation, Psychological, Supernatural, Thriller, Based on a Manga","Cannibalism, Explicit Violence, Mature Themes, Physical Abuse",TV,12,TRUE,Unknown,2014,2014,Summer 2014,Pierrot,"In modern day Tokyo, society lives in fear of Ghouls: mysterious creatures who look exactly like humans -- yet hunger insatiably for their flesh. None of this matters to Ken Kaneki, a bookish and ordinary young man, until a dark and violent encounter turns him into the first ever Ghoul-human half breed. Trapped between two worlds, Ken must survive the violent conflicts of warring Ghoul factions, while attempting to learn more about Ghoul society, his newfound powers, and the fine line between man and monster.",https://www.anime-planet.com/anime/tokyo-ghoul
5750,No Game No Life,Unknown,4.439,68808,"Adventure, Ecchi, Fantasy, High Stakes Games, Isekai, NEET, Overpowered Main Characters, Person in a Strange World, PVP, Royalty, Siblings, Based on a Light Novel",Unknown,TV,12,TRUE,Unknown,2014,2014,Spring 2014,MADHOUSE,"An urban legend states that those exceptionally gifted at gaming will be sent a special game invitation, and the winners of the challenge will be whisked away to another world. When Sora and Shiro, two hikikomori NEETs who happen to be both siblings and notorious gamers, receive this invitation, they defeat it with ease. And like the legends tell, they're transported to another world where conflicts, peoples' lives and even country borders are decided by competitions and games. Always up for a challenge, the pair quickly take on the obstacles that come their way, whether it be restoring lowly humanity's good name compared with the other races or helping influence who will become the next king.",https://www.anime-planet.com/anime/no-game-no-life
3094,Highschool of the Dead,Gakuen Mokushiroku: High School of the Dead,3.973,61550,"Action, Ecchi, Horror, Shounen, Apocalypse, Pandemic, Panty Shots, Survival, Zombies, Based on a Manga","Explicit Violence, Mature Themes, Nudity, Physical Abuse, Suicide",TV,12,TRUE,Unknown,2010,2010,Summer 2010,MADHOUSE,"When the infected approached Rei and Takashi's school, it led to a gruesome blood bath that left the majority of students and staff dead or turned into the zombie-like monsters that have spread throughout the world. Together with a handful of other survivors, Rei and Takashi set forth to find their families in a world that is rapidly detoriating. Governments have collapsed, the killer disease is out of control, and people everywhere are trying their best to simply live through each day...",https://www.anime-planet.com/anime/highschool-of-the-dead
5656,Noragami,Unknown,4.347,57282,"Action, Comedy, Drama, Shounen, Ghosts, Gods, Japanese Mythology, Non-Human Protagonists, Supernatural, Based on a Manga",Violence,TV,12,TRUE,Unknown,2014,2014,Winter 2014,Bones,"Yato, the supposed God of Calamity, is so far down on the Shinto totem pole that he doesn't even have any followers or a shrine to call his own and has to do odd jobs to make ends meet. Worst of all, his aloof and somewhat goofy personality has just cost him his newest partner and best holy weapon. When the down-on-his-luck Yato is saved by an unfortunate soul called Hiyori, he's forced to take on a brand new job - to turn her back into a human and fix her supernatural out-of-body experiences! Can Yato, a Regalia-less, miserly minor god, even attempt such a tall order? And is there more to him than his ridiculousness lets on?",https://www.anime-planet.com/anime/noragami
6808,Attack on Titan 2nd Season,Shingeki no Kyojin 2nd Season,4.505,54515,"Action, Fantasy, Horror, Shounen, Dark Fantasy, Isolated Society, Military, Outside World, Overpowered Main Characters, Post-apocalyptic, Based on a Manga","Cannibalism, Explicit Violence",TV,12,TRUE,Unknown,2017,2017,Spring 2017,WIT Studio,"Eren Jaeger swore to wipe out every last Titan, but in a battle for his life he wound up becoming the thing he hates most. With his new powers, he fights for humanity's freedom facing the monsters that threaten his home. After a bittersweet victory against the Female Titan, Eren finds no time to rest—a horde of Titans is approaching Wall Rose and the battle for humanity continues!",https://www.anime-planet.com/anime/attack-on-titan-2nd-season
4417,Another,Unknown,4.138,52279,"Horror, Mystery, Countryside, Curse, Psychological, School Life, Supernatural, Transfer Students, Based on a Light Novel","Mature Themes, Physical Abuse, Suicide, Violence",TV,12,TRUE,Unknown,2012,2012,Winter 2012,P.A. WORKS,"26 years ago, something terrible happened in a middle school’s third year classroom. A popular, talented student named Misaki suddenly died, and the ramifications of that incident have caused each third year class since then to live in fear. It is now 1998, and Kouichi Sakakibara has just transferred into the notorious classroom, curious about the mysterious secret that his peers are hiding from him. He’s drawn to one enigmatic girl named Mei Misaki, a quiet student who wears an eye patch and warns him about getting involved with her, and continues to seek her out against the pleas of his classmates. And that’s when people begin to violently die...",https://www.anime-planet.com/anime/another
7283,ERASED,Boku dake ga Inai Machi,4.513,51617,"Drama, Mystery, Seinen, Age Transformation, Crime, Death of a Loved One, Dysfunctional Families, Melancholy, noitaminA, Serial Killers, Supernatural, Thriller, Time Travel, Based on a Manga","Animal Abuse, Mature Themes, Physical Abuse, Domestic Abuse",TV,12,TRUE,Unknown,2016,2016,Winter 2016,A-1 Pictures,"Satoru Fujinuma is a reclusive part-timer with no plans for the future. What sets him apart from the other slackers in his town is an involuntary time travel ability that allows him to jump back several seconds in time in order to prevent accidents and even deaths. As incidents around town begin reminding Satoru of a childhood trauma he'd sooner forget, he finally begins to question what caused his ability to surface and whether or not it's powerful enough to change the past.",https://www.anime-planet.com/anime/erased
3419,Deadman Wonderland,Unknown,3.943,48821,"Action, Sci Fi, Shounen, Conspiracy, High Stakes Games, Play or Die, Prison, PVP, Superpowers, Weak to Strong, Based on a Manga","Explicit Violence, Nudity",TV,12,TRUE,Unknown,2011,2011,Spring 2011,Manglobe,"Middle school student Ganta Igarashi witnessed the slaughter of his entire class by the mysterious 'Red Man', and as the only survivor, he was labeled a mass murderer and sentenced to death. Now an inmate at the privately-owned prison and ‘amusement park' known as Deadman Wonderland, Ganta must try to survive in a place where inmates are the main attraction in brutal gladiator-style games. At the same time, he must attempt to uncover the truth behind the ‘Red Man', his mysterious childhood friend Shiro, and why he was the only survivor that bloody day.",https://www.anime-planet.com/anime/deadman-wonderland
6727,Tokyo Ghoul √A,Unknown,4.014,47164,"Action, Horror, Seinen, Psychological, Supernatural, Thriller, Based on a Manga","Cannibalism, Violence",TV,12,TRUE,Unknown,2015,2015,Winter 2015,Pierrot,"In modern day Tokyo, society lives in fear of Ghouls: mysterious creatures who look exactly like humans -- yet hunger insatiably for their flesh. None of this matters to Ken Kaneki, a bookish and ordinary young man, until a dark and violent encounter turns him into the first ever Ghoul-human half breed. Trapped between two worlds, Ken must survive the violent conflicts of warring Ghoul factions, while attempting to learn more about Ghoul society, his newfound powers, and the fine line between man and monster.",https://www.anime-planet.com/anime/tokyo-ghoul-a
