COUNTRY, TOTAL_VACCINATIONS
Afghanistan,662003
Albania,798826
Algeria,
American Samoa,42271
Andorra,51114
Angola,1380174
Anguilla,15198
Antigua and Barbuda,60011
Argentina,17475935
Armenia,46503
Aruba,122680
Australia,5931245
Austria,6373937
Azerbaijan,2545862
Bahamas,68119
Bahrain,1943301
Bangladesh,10079676
Barbados,153350
Belarus,1068413
Belgium,8775205
Belize,95452
Benin,26518
Bermuda,76526
Bhutan,484189
Bolivia (Plurinational State of),2205639
Bonaire,26469
"Bonaire, Sint Eustatius and Saba",7391
Bosnia and Herzegovina,315780
Botswana,153100
Brazil,78583450
British Virgin Islands,20278
Brunei Darussalam,61225
Bulgaria,1594929
Burkina Faso,17775
Cabo Verde,63606
Cambodia,4839260
Cameroon,97245
Canada,30885092
Cayman Islands,86711
Central African Republic,42644
Chad,5324
Chile,20865921
China,895789859
Colombia,13167044
Comoros,84360
Congo,67511
Cook Islands,8291
Costa Rica,2150520
Côte d’Ivoire,719701
Croatia,2162163
Cuba,798655
Curaçao,163328
Cyprus,693356
Czechia,6604926
Democratic Republic of the Congo,42951
Denmark,4135631
Djibouti,21357
Dominica,38646
Dominican Republic,6675351
Ecuador,3133387
Egypt,4010467
El Salvador,2294464
Equatorial Guinea,257146
Estonia,836684
Eswatini,34897
Ethiopia,1975957
Falkland Islands (Malvinas),4407
Faroe Islands,41653
Fiji,65419
Finland,3569324
France,41912459
French Guiana,70126
French Polynesia,110157
Gabon,41737
Gambia,40810
Georgia,203311
Germany,62132301
Ghana,1232876
Gibraltar,77831
Greece,6985885
Greenland,32175
Grenada,29157
Guadeloupe,91828
Guam,142838
Guatemala,724515
Guernsey,76401
Guinea,467027
Guinea-Bissau,18706
Guyana,319096
Honduras,541792
Hungary,9496972
Iceland,289682
India,261740273
Indonesia,32603744
Iran (Islamic Republic of),4792881
Iraq,805363
Ireland,3218310
Isle of Man,94630
Israel,10583275
Italy,42952982
Jamaica,194315
Japan,15605278
Jersey,116607
Jordan,3002498
Kazakhstan,3886870
Kenya,1183376
Kiribati,0
Kosovo,19257
Kuwait,1120000
Kyrgyzstan,54101
Lao People's Democratic Republic,1100013
Latvia,809164
Lebanon,1142266
Lesotho,36637
Liberia,68821
Libya,351408
Liechtenstein,28606
Lithuania,1887490
Luxembourg,456818
Madagascar,188752
Malawi,489080
Malaysia,3330436
Maldives,493630
Mali,176038
Malta,557758
Marshall Islands,29622
Martinique,84824
Mauritania,136003
Mauritius,598863
Mexico,38248562
Micronesia (Federated States of),42392
Monaco,33965
Mongolia,3528572
Montenegro,218285
Montserrat,2600
Morocco,15380193
Mozambique,394930
Myanmar,2994900
Namibia,123954
Nauru,8489
Nepal,3153419
Netherlands,12875172
New Caledonia,97974
New Zealand,817786
Nicaragua,167500
Niger,186207
Nigeria,2909674
North Macedonia,389646
Northern Mariana Islands (Commonwealth of the),52038
Norway,2475700
occupied Palestinian territory,720720
Oman,688425
Pakistan,12977746
Palau,23545
Panama,1370894
Papua New Guinea,38176
Paraguay,662769
Peru,6061707
Philippines,6624417
Pitcairn Islands,47
Poland,25397430
Portugal,7095561
Puerto Rico,2972940
Qatar,2886323
Republic of Korea,14255881
Republic of Moldova,532724
Romania,8753264
Russian Federation,32831196
Rwanda,398096
Saba,1300
Saint Helena,7892
Saint Kitts and Nevis,32804
Saint Lucia,50869
Saint Vincent and the Grenadines,22980
Samoa,37572
San Marino,43452
Sao Tome and Principe,23918
Saudi Arabia,16558180
Senegal,593849
Serbia,4546379
Seychelles,137676
Sierra Leone,97315
Singapore,4392067
Sint Eustatius,2236
Sint Maarten,36209
Slovakia,3020918
Slovenia,1310180
Solomon Islands,18889
Somalia,163978
South Africa,1871987
South Sudan,29410
Spain,31493943
Sri Lanka,2930212
Sudan,610924
Suriname,161829
Sweden,6426443
Switzerland,5869211
Syrian Arab Republic,71519
Tajikistan,102711
Thailand,6188124
The United Kingdom,71672208
Timor-Leste,110531
Togo,347246
Tonga,28667
Trinidad and Tobago,195540
Tunisia,1554145
Turkey,34052689
Turkmenistan,41993
Turks and Caicos Islands,38110
Tuvalu,2344
Uganda,831213
Ukraine,1718890
United Arab Emirates,14428916
United States of America,317983185
Uruguay,3471590
Uzbekistan,1144934
Vanuatu,5140
Venezuela (Bolivarian Republic of),1302992
Viet Nam,1461571
Wallis and Futuna,8186
Yemen,251385
Zambia,147220
Zimbabwe,1126087
